[1] "Userchar,WindowSize,Slice,Model,Repeat,Accuracy_mean,Accuracy_sd,Kappa_mean,Kappa_sd,AccuracyHigh_mean,AccuracyHigh_sd,AccuracyLow_mean,AccuracyLow_sd"
[1] "BarChartLit,1000,2,regLogistic,10,0.52,0.300698774667307,-0.00318181818181827,0.509895172991525,0.44,0.30012343139794,0.586206896551724,0.43186382538527"
[1] "BarChartLit,1000,2,xgbTree,10,0.476666666666667,0.289337258891274,0.000302148831560509,0.48014601535691,0.52,0.362501596420495,0.448275862068966,0.346801502279805"
[1] "BarChartLit,1000,2,svmLinear,10,0.696666666666667,0.251636618269919,0.277813852813853,0.565698448419258,0.76,0.256182805101415,0.655172413793103,0.360132876247352"
[1] "BarChartLit,1000,3,MajorityClass,1,0.528301886792453,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,3,rf,1,0.646666666666667,0.215567010004938,0.262234432234432,0.478845995646027,0.52,0.315524255098646,0.75,0.22566773346211"
[1] "BarChartLit,1000,3,regLogistic,1,0.613333333333333,0.202576003112504,0.205044955044955,0.45145925279845,0.6,0.344265186329548,0.607142857142857,0.323990378999209"
[1] "BarChartLit,1000,3,xgbTree,1,0.606666666666667,0.19987650508239,0.203453017570665,0.406828435452164,0.56,0.343834585552737,0.642857142857143,0.312561407420876"
[1] "BarChartLit,1000,3,svmLinear,1,0.626666666666667,0.223219982290626,0.294844958962606,0.383019277196834,0.64,0.344910079532279,0.607142857142857,0.317807350002792"
[1] "BarChartLit,1000,3,MajorityClass,2,0.528301886792453,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,3,rf,2,0.636666666666667,0.223579190268208,0.240207929325576,0.464772065963373,0.52,0.284670049420442,0.75,0.272165526975909"
[1] "BarChartLit,1000,3,regLogistic,2,0.546666666666667,0.272256233702965,0.0272991714168185,0.48704066976814,0.36,0.365756445982539,0.714285714285714,0.298649011463917"
[1] "BarChartLit,1000,3,xgbTree,2,0.546666666666667,0.187379590967403,0.147219447219447,0.309628734313711,0.44,0.321570221580617,0.642857142857143,0.213180571723227"
[1] "BarChartLit,1000,3,svmLinear,2,0.57,0.248675503765127,0.138886113886114,0.497811973253235,0.6,0.265274141918074,0.535714285714286,0.294186555442074"
[1] "BarChartLit,1000,3,MajorityClass,3,0.528301886792453,0,0,0,0,0,0,0"
